text,category_hint
Berbasis SYARIAH 100% Tanpa Riba Solusinya hanya di  KSP BAITUSSALAM MENWARKAN Pinjaman online Proses Cepat & Aman Minimal 5jt-250jt Minat WA : 0852 1413 4052,fraud_candidate
"KSP.SEJAHTERA BERSAMA Menawarkan Dana Pinjaman Proses Mudah & Cepat PLAFOND 5 s/d 500 Juta TENOR 1 s/d 7 Tahun Bunga 0,6 % Minat Chat WA' 085246610231",fraud_candidate
kami menawarkan  pinjaman dana dengan bunga rendah dan cepat cair dijamin amanah minimal 5jt sampai 500jt minat chat whatsapp; 085333103541,fraud_candidate
"Ass, Bpk/Ibu, Kmi Menberikan Pinjaman Modal Dgn Bunga 2% Mdh Terjamin Dan Amanah, Chat di Wa: 087765378585",fraud_candidate
KSP SEJAHTERA melayani pinjaman mulai 5jt-500jt cepat & mudah Bunga 4% U/info hub/chat  via WA:0853-4972-8464,fraud_candidate
dana pinjaman  berbaris online mulai 2Ojt s/d 1.milyar  minat chat wa;085348099737,fraud_candidate
SHOPEE 9.9 Slmt No.Anda Resmi Mendaptkan Hadiah Ke-2 Cek Tunai Rp.185jt Code ID Pemenang;(AD25MD47) U/Info Hadiah Klik. bit.ly/info-shoppingday99,fraud_candidate
SIMcard Anda Mendapatkan Penghargaan Ke.5 Dari ERA JAYA Kode pin (479kl278) U/info klik: https://bit.ly/info-erajaya29,fraud_candidate
Selamat anda. Terdaftar di BPJS INDONESIA Sebagai Penerima  dana Bantuan. Rp.175juta U/info klik: bit.ly/dana-bpjs21-indonesia  Masukkan PIN di Locked: 57DL77,fraud_candidate
"Anda M-dptkan 125,000.000.00 ID Anda (AAQ2099) cek ID Anda bit.ly/promoshopee567",fraud_candidate
sLMt!No whatsapp Anda Men-dptkn Rp.175.000.000 PIN:D33C879 cek di: bit.ly/info-resmi314,fraud_candidate
SIM C4RD ANDA M-dptkan 1unit mobil T0Y0TA INN0VA dr myPERT4MIN4 Pin Pemenang Anda: 789fr77 Klik link: bit.ly/undianmypertamina,fraud_candidate
PESAN RESMI !!! SELAMAT ANDA TERPILIH SEBAGAI PEMENANG HADIAH KE-2 dr SHOPEE 2019  Code ID;25f4777  U/info klik; www.big-shopee37.blogspot.com,fraud_candidate
PESAN RESMI !!! anda pemenan Rp150.000.000 Dari SHOPEE SALE PIN ID:IJ4T547 Cocokan PIN anda di bit.ly/mensaleshopee22coid,fraud_candidate
PT.SHOPEE MENGUCAPKAN SLAMAT!!! NO anda resmi m-dptkn hadiah Ke-2 cek tunai Rp.175jt dri pt.shopee PIN:B8337H9 U/info klik: www.shopeetbk29.blogspot.com,fraud_candidate
SHOPEE INDONESIA Selamat No Anda resmi terpilih meraih Hadiah ke-2 Rp.175jta dari SHOPEE ID pemenang (J7K2B59) U/info hadiah klik; bit.ly/shopee3347,fraud_candidate
sLMt!No whatsapp Anda Men-dptkn Rp.175.000.000 PIN:D33C879 cek di: bit.ly/info-resmi314,fraud_candidate
SHOPEE Slmt. No.+6287784xxxxxx Anda resmi Men-dptkan hadiah Ke-2 cek tunai Rp.175jt KODE ID PEMENANG:(AD25MD47) U/info hadiah Klik. www.grandprize55.online,fraud_candidate
"Anda Pemenang KE-2 Rp.150.000.000,00 SHOPEE REJEKI awal tahun 2020 TOKEN ID (B8337H9 Silahkan buka link di bawah: s.id/rejekianksholeh Cek HADIAH anda",fraud_candidate
SELAMAT.. Anda resmi men-dpatkan HADIAH KE-2 Rp.175 juta. Dri LAZADA2019 ID;02498123 U/info hadiah klick; bit.ly/call-centerlazada29,fraud_candidate
LAZADA ID Markatplace No 1 Ucapkan SELAMAT Anda Trdaftar Pemenang LAZADA 11.11 Hadiah JUTAWAN Rp.125Jta ID:MP47AD7 Info bit.ly/lazada-win11,fraud_candidate
selamatAnda M-dpatkan C3K Rp.189.000.000 dari.PERTAMINA CODE ID;(717747) info lanjut; WA;0822-5016-9377 Atau klik; bit.ly/pertamina377,fraud_candidate
"Anda mendapat 700.000 TUNAI, silakan klik tautan untuk mendapatkannya: http://isat.ekontan.com/01/14bskn0y WA CS:085777640327",fraud_candidate
"Anda Pemenang SHOPEE NEW YEAR Rp. 150.000.000,- PIN (iJ4T547) Info Klik Link : s.id/pt-shopeeawalthn",fraud_candidate
PT.WhatsApp Slmt. Men-dptkan hadiah Ke-2 cek tunai Rp.175jt KODE ID PEMENANG:[WHA012] U/info hadiah Klik. bit.ly/infohadiah-wa747,fraud_candidate
Slmt No. Anda Mendapatkan Hadiah Rp.100jt Dari PT. WHATSAPP ID: UF77957 INFO Klik Link URL di bawah ini: bit.ly/wa-2019,fraud_candidate
"Dptkan vocer 500rb, aktfkn RBT BEBAS AKSES 7hr prtma: Inul Daratista-Masa Lalu trf slnjtnya 7rb/30hr, 2rb/7hr, 1rb/3hr (sesuai pulsa) Balas sms ketik: UNTUNG2",other_spam_candidate
"Yuk berbagi kata cinta di SMS Hitz super ASYIK! Gabung GRATIS/1hr, balas SMS ini, ketik: OKE",other_spam_candidate
BIG PR0M0 CUCI GUDANG..!!! IPHONE:750ribu SAMSUNG:750ribu OPPO:750ribu VIVO:750ribu dan laptOp 1jt minat  Silahkan cat/wa 0852-4027-1562,other_spam_candidate
JASA DUKUN SANTET & PELET RESMI TERPERCAYA 1. Pesugihan  2. Santet 3. Pasang Susuk 4. Menang Perkara Tlp/Wa. 081240837779,other_spam_candidate
Transaksi Anda sebesar Rp150.000 di Indomaret berhasil. Saldo Anda saat ini Rp850.000.,normal
Tagihan listrik PLN Anda periode ini sebesar Rp235.000 telah berhasil dibayar via GoPay.,normal
Kode OTP Anda adalah 483920. Jangan berikan kode ini kepada siapapun termasuk pihak yang mengaku dari GoPay.,normal
Top up GoPay Anda sebesar Rp200.000 berhasil melalui BCA Virtual Account.,normal
"Halo, jadi jam berapa kita ketemuan besok? aku free setelah jam 3",normal
Reminder: tagihan kartu kredit Anda jatuh tempo tanggal 28. Bayar sekarang di aplikasi.,normal
Pesanan GoFood Anda sedang diantar oleh driver. Estimasi tiba 15 menit lagi.,normal
"Selamat ulang tahun! Semoga sehat selalu ya, jangan lupa healing weekend ini",normal
Saldo GoPay Anda saat ini Rp1.250.000. Terima kasih telah menggunakan layanan kami.,normal
"Meeting project besok jam 10 pagi ya, jangan telat.",normal
Nikmati cashback 20% untuk transaksi GoPay di merchant pilihan hari ini. Cek aplikasi untuk info lebih lanjut.,promo
Diskon hingga 50% khusus pengguna baru GoPay minggu ini. Buka aplikasi sekarang untuk klaim.,promo
Promo spesial 12.12: gratis ongkir se-Indonesia untuk semua transaksi GoPay hari ini.,promo
Dapatkan poin GoPay 2x lipat untuk setiap transaksi di merchant favorit Anda bulan ini.,promo
"Ada promo baru untuk member setia kami, cek detail lengkap di aplikasi resmi ya.",promo
"Ulang tahun aplikasi kami, nikmati diskon spesial 30% untuk semua produk hari ini saja.",promo
